stuId	tag	university	major	majorCategory
zn5I7wCLpX	マスコミ,出版・印刷,ゲーム	京都情報大学院大学	応用情報技術研究科コンテンツビジネス	理系
n9rVEvG0UO	人材・教育,広告	中京大学	経済学部経済学科	文系
lRWEHlB8hS		和歌山大学	経済学部ビジネスマネジメント学科	文系
QzKIrMaVlt	コンサルティング,インフラ,不動産	、	、	文系
7CMI9xTSyA		拓殖大学	外国語学部英米語学科	文系
PYvpXH6gbl		追手門学院大学	心理学部	文系
KAkoxFflXz		近畿大学	農学部	理系
9HvZUlkGMB		東海大学	情報理工学部コンピュータ応用工学科	理系
iYkhEAsLXG		千葉大学	工学部都市環境システム学科	理系
a7cUUiMvb4		専修大学	経済学部国際経済学科	文系
R2pE3yGd0W		鹿児島大学	工学部環境化学プロセス工学科	理系
1IWdYALWc9	住宅・建設,食品・飲料,商社,化学・石油,流通・小売,銀行・信金,証券,官公庁,鉄道・航空,サービス,農林・水産,繊維,ソフトウェア,クレジットカード,IT,ホテル・レジャー,アパレル,ゲーム,電機・自動車,コンサルティング,広告,保険,旅行,人材・教育,インフラ,運輸・物流,化粧品・医薬,マスコミ,出版・印刷,不動産	一橋大学	経済学部	文系
7RP1j1NgSm	人材・教育,広告	島根県立大学	総合政策学部総合政策学科	文系
6Sk2okWwQU		神奈川大学	経済学部経済学科	文系
UiqzHMbKLA		日本大学	国際関係学部国際教養学科	文系
X5c3TNODvZ		早稲田大学	文学部英文学科	文系
8EpiFKVaRD		日本大学	文理学部ドイツ文学科	文系
UtTueHhJFK		武蔵野大学	グローバルコミュニケーション	文系
LVKK7nR1ZN		東京農業大学	国際食料情報学部国際農業開発学科	理系
uht0Dtz9r0		神奈川大学	経済学部経済学科	文系
66E8KLVFSM	食品・飲料,旅行,人材・教育,ホテル・レジャー	関西大学	経済学部経済学科	文系
mHBDrmjBUG		女子美術大学	芸術学部美術学科	文系
mcYcI2zbf8		上智大学	理工学部情報理工学科	理系
yDArqmWafD		東海大学	工学部 航空宇宙学科 航空宇宙学専攻	理系
bCvenSeraA		東京農業大学	農学部バイオセラピー学科	理系
4umOByWvgD	人材・教育,コンサルティング,ソフトウェア,サービス,IT,インフラ	早稲田大学	国際教養学部国際教養学科	文系
0E2HxZDTbm		神奈川大学	経済学部 現代ビジネス学科	文系
QGol8MYL1J	広告,商社,IT,人材・教育	法政大学	法学部法律学科	文系
sr7Bq3FVAw		中央大学	商学部経営学科	文系
LPuvSt6Q1S		環太平洋大学	次世代教育学部教育経営学科	文系
WOntz8gul5	コンサルティング,人材・教育	東海大学	政治経済学部経営学科	文系
IzE974oeeD		専修大学	法学部法律学科	文系
aoi5NmshAd		法政大学	国際文化学部国際文化学科	文系
pxlFDLEyuC		立教大学	経済学部経済政策学科	文系
uyRhHNRX4d		茨城大学	農学部生物生産科学科	理系
Xz3wtBp0ys		東海大学	政治経済学部政治学科	文系
ucxclaGXuE		立教大学	社会学部社会学科	文系
DLsB355ku6		京都大学院	工学研究科建築学専攻	理系
LBlQZAPpvr		流通経済大学	スポーツ健康科学部 スポーツ健康科学科	文系
1wNS6lFdA5		慶応大学	経済学部	文系
BFuvGSxMtE		法政大学	経営学部経営学科	文系
cpvSk3QxAT		実践女子大学	文学部英文学科	文系
Ug6mHqkZAc		千葉大学	教育学部生涯教育課程	文系
Nl1NNCiyiY		東京大学大学院	工学系研究科マテリアル工学専攻	理系
wRbdkHgz8S	IT,アパレル,ホテル・レジャー,コンサルティング,広告,化粧品・医薬,マスコミ,出版・印刷,旅行	東京外国語大学	言語文化学部中国語科	文系
Pv67i50h9H		日本外国語専門学校	アジアヨーロッパ言語科英語+韓国語専攻	文系
b5apSTEnYU		明治学院大学	法学部消費情報環境法学科	文系
P2X0NfRnrz	IT,証券,コンサルティング	関西学院大学	経済学部	文系
zDAKbcFf0Z		東洋学園大学	現代経営学部現代経営学科	文系
